
77;2024-11-18 13:50:42;1897;1920;2279;1;CD:72:02:F4:FB:67
76;2024-11-18 13:50:37;1895;1925;2280;1;CD:72:02:F4:FB:67
75;2024-11-18 13:50:32;1900;1927;2270;1;CD:72:02:F4:FB:67
74;2024-11-18 13:50:27;1900;1925;2277;1;CD:72:02:F4:FB:67
73;2024-11-18 13:50:22;1899;1930;2277;1;CD:72:02:F4:FB:67
72;2024-11-18 13:50:17;1906;1926;2262;1;CD:72:02:F4:FB:67
71;2024-11-18 13:50:12;1887;1973;2310;1;CD:72:02:F4:FB:67
70;2024-11-18 13:50:07;1901;1917;2286;1;CD:72:02:F4:FB:67
69;2024-11-18 13:50:02;1899;1916;2282;1;CD:72:02:F4:FB:67
68;2024-11-18 13:49:57;1900;1912;2278;1;CD:72:02:F4:FB:67
67;2024-11-18 13:49:52;1903;1905;2282;1;CD:72:02:F4:FB:67
66;2024-11-18 13:49:47;1893;1904;2280;1;CD:72:02:F4:FB:67
65;2024-11-18 13:49:42;1902;1906;2278;1;CD:72:02:F4:FB:67
64;2024-11-18 13:49:37;1901;1904;2279;1;CD:72:02:F4:FB:67
63;2024-11-18 13:49:32;1900;1903;2277;1;CD:72:02:F4:FB:67
62;2024-11-18 13:49:27;1902;1907;2280;1;CD:72:02:F4:FB:67
61;2024-11-18 13:49:22;1900;1907;2280;1;CD:72:02:F4:FB:67
60;2024-11-18 13:49:17;1898;1907;2274;1;CD:72:02:F4:FB:67
59;2024-11-18 13:49:12;1903;1920;2275;1;CD:72:02:F4:FB:67
58;2024-11-18 13:49:07;1903;1915;2278;1;CD:72:02:F4:FB:67
